year/power;-2020;2019-2018;2016-2017;2014-2015;2012-2013;2009-2011;2006-2008;2002-2005;1998-2001;1997-;
-50;1149,5;1045;921,5;560,5;465,5;380;266;228;190;93,1;
51-100;1254;1140;1026;750,5;541,5;465,5;370,5;285;218,5;118,75;
101-200;1501;1377,5;1225,5;912;646;541,5;437;370,5;285;179,55;
201-300;3382;3087,5;2774;2156,5;1548,5;1311;1197;997,5;973,75;441,75;
301-400;3657,5;3372,5;3021;2565;2441,5;2033;1425;1206,5;1035,5;589;
401-500;4142;3800;3420;2850;2536,5;2137,5;1700,5;1377,5;1249,25;703;
501-600;4892,5;4493,5;4037,5;3420;2603;2185;1871,5;1596;1288,2;855;
601-700;5719;5244;4721,5;3838;2717;2299;2052;1624,5;1339,5;893;
701-800;6688;6146,5;5529;4465;2812;2470;2156,5;1662,5;1387;960,45;
801-900;7410;6792,5;6156;5035;3885,5;2831;2403,5;1719,5;1567,5;1022,2;
901-1000;8236,5;7543;6821;5652,5;4227,5;2926;2441,5;1776,5;1596;1153,3;
1001-1100;8854;8113;7334;6080;4493,5;2992,5;2622;1900;1691;1231,2;
1101-1300;9785;8958,5;8084,5;6555;4712;3049,5;2831;2014;1852,5;1299,6;
1301-1500;10830;9927,5;8911;6982,5;5605;3724;3059;2270,5;1843;1336,65;
1501-;12198;11096;10003,5;7552,5;6346;5054;3657,5;2384,5;1928,5;1392,7;